Average of ROC AUC scores,Folds,Iterations,Walks,Dimensions,Error occured
0.6767038435685855,5,2000,10,16,True
0.6838761185055388,5,2000,10,64,True
0.69461962589153,5,2000,10,128,True
0.7272444877342735,5,2000,16,16,True
0.6521289161718381,5,2000,16,64,False
0.5839495297016265,5,2000,16,128,True
0.7046188363489954,5,2000,32,16,True
0.6268170966824831,5,2000,32,64,False
0.6042441248588153,5,2000,32,128,True
0.6370418215978685,5,2000,64,16,False
0.5727176176164713,5,2000,64,64,False
0.5736650477722279,5,2000,64,128,False
0.6756526103621727,5,5000,10,16,False
0.5703279214101836,5,5000,10,64,False
0.5859480546092669,5,5000,10,128,False
0.6431020492102488,5,5000,16,16,False
0.5782226089828967,5,5000,16,64,False
0.5460242149637519,5,5000,16,128,True
0.768282312666082,5,5000,32,16,True
0.6149946253784876,5,5000,32,64,False
0.5850337022909373,5,5000,32,128,False
0.664126406455267,5,5000,64,16,False
0.5275532470815104,5,5000,64,64,True
0.5543065164327519,5,5000,64,128,False
0.6233821336192514,10,2000,10,16,False
0.6442152475945521,10,2000,10,64,True
0.5827932457600984,10,2000,10,128,False
0.7104168620087797,10,2000,16,16,False
0.5846067050832277,10,2000,16,64,False
0.5993866799096746,10,2000,16,128,False
0.6040912743254608,10,2000,32,16,False
0.5873321383347697,10,2000,32,64,False
0.5433195717685945,10,2000,32,128,False
0.6975348807756739,10,2000,64,16,False
0.5609060030305487,10,2000,64,64,False
0.5461711621681965,10,2000,64,128,False
0.7036401451397808,10,5000,10,16,False
0.618941683302402,10,5000,10,64,False
0.6694428688054491,10,5000,10,128,True
0.6753554167980712,10,5000,16,16,True
0.6391835481213353,10,5000,16,64,False
0.6445974439854404,10,5000,16,128,True
0.6776117404081399,10,5000,32,16,False
0.5143511244064991,10,5000,32,64,False
0.5380893995131891,10,5000,32,128,False
0.5930873648989213,10,5000,64,16,True
0.5518036093409402,10,5000,64,64,True
0.5570092281917297,10,5000,64,128,True
0.7052034863844573,20,2000,10,16,False
0.5256493756106506,20,2000,10,64,False
0.5388881658202548,20,2000,10,128,False
0.6996145980512356,20,2000,16,16,True
0.623266660733451,20,2000,16,64,True
0.6169871041343874,20,2000,16,128,False
0.6585440313697672,20,2000,32,16,False
0.6517743461771327,20,2000,32,64,True
0.5924654516163917,20,2000,32,128,True
0.6546146930292995,20,2000,64,16,False
0.642752841208286,20,2000,64,64,True
0.6113593196982505,20,2000,64,128,False
0.7087019291688479,20,5000,10,16,False
0.6232923390360176,20,5000,10,64,False
0.6478688720624112,20,5000,10,128,False
0.6481818405325228,20,5000,16,16,False
0.6129020279289182,20,5000,16,64,False
0.6126445981123272,20,5000,16,128,False
0.6939249428681797,20,5000,32,16,False
0.637168195273327,20,5000,32,64,False
0.4399883633045043,20,5000,32,128,True
0.674426314594108,20,5000,64,16,False
0.5243408715715777,20,5000,64,64,False
0.5726907553236572,20,5000,64,128,True
